LocationDesc,Class,Data_Value,Column_Name,state,id,abbr
Nevada,Caregiving,34.25,Nevada Caregiving Average%,Nevada,32.0,NV
Nevada,Cognitive Decline,28.359302325581396,Nevada Cognitive Decline Average%,Nevada,32.0,NV
Nevada,Mental Health,14.844827586206897,Nevada Mental Health Average%,Nevada,32.0,NV
Nevada,Smoking and Alcohol Use,13.185185185185185,Nevada Smoking and Alcohol Use Average%,Nevada,32.0,NV
New Hampshire,Caregiving,32.967619047619046,New Hampshire Caregiving Average%,New Hampshire,33.0,NH
New Hampshire,Cognitive Decline,28.065217391304348,New Hampshire Cognitive Decline Average%,New Hampshire,33.0,NH
New Hampshire,Mental Health,14.770833333333334,New Hampshire Mental Health Average%,New Hampshire,33.0,NH
New Hampshire,Smoking and Alcohol Use,10.720833333333333,New Hampshire Smoking and Alcohol Use Average%,New Hampshire,33.0,NH
New Jersey,Caregiving,32.42470588235294,New Jersey Caregiving Average%,New Jersey,34.0,NJ
New Jersey,Mental Health,12.547222222222222,New Jersey Mental Health Average%,New Jersey,34.0,NJ
New Jersey,Smoking and Alcohol Use,10.240625,New Jersey Smoking and Alcohol Use Average%,New Jersey,34.0,NJ
New Mexico,Caregiving,36.05555555555556,New Mexico Caregiving Average%,New Mexico,35.0,NM
New Mexico,Cognitive Decline,36.21935483870968,New Mexico Cognitive Decline Average%,New Mexico,35.0,NM
New Mexico,Mental Health,15.50909090909091,New Mexico Mental Health Average%,New Mexico,35.0,NM
New Mexico,Smoking and Alcohol Use,11.31,New Mexico Smoking and Alcohol Use Average%,New Mexico,35.0,NM
New York,Caregiving,32.35064935064935,New York Caregiving Average%,New York,36.0,NY
New York,Cognitive Decline,31.77704918032787,New York Cognitive Decline Average%,New York,36.0,NY
New York,Mental Health,13.964102564102564,New York Mental Health Average%,New York,36.0,NY
New York,Smoking and Alcohol Use,10.457142857142857,New York Smoking and Alcohol Use Average%,New York,36.0,NY
North Carolina,Caregiving,35.400000000000006,North Carolina Caregiving Average%,North Carolina,37.0,NC
North Carolina,Cognitive Decline,32.28913043478261,North Carolina Cognitive Decline Average%,North Carolina,37.0,NC
North Carolina,Mental Health,14.935483870967742,North Carolina Mental Health Average%,North Carolina,37.0,NC
North Carolina,Smoking and Alcohol Use,11.241379310344827,North Carolina Smoking and Alcohol Use Average%,North Carolina,37.0,NC
North Dakota,Caregiving,31.392063492063492,North Dakota Caregiving Average%,North Dakota,38.0,ND
North Dakota,Cognitive Decline,20.462790697674418,North Dakota Cognitive Decline Average%,North Dakota,38.0,ND
North Dakota,Mental Health,12.524000000000001,North Dakota Mental Health Average%,North Dakota,38.0,ND
North Dakota,Smoking and Alcohol Use,14.1,North Dakota Smoking and Alcohol Use Average%,North Dakota,38.0,ND
Northeast,Caregiving,34.74333333333333,Northeast Caregiving Average%,Northeast,,
Northeast,Cognitive Decline,35.38697916666667,Northeast Cognitive Decline Average%,Northeast,,
Northeast,Mental Health,13.666666666666666,Northeast Mental Health Average%,Northeast,,
Northeast,Smoking and Alcohol Use,10.539024390243902,Northeast Smoking and Alcohol Use Average%,Northeast,,
Ohio,Caregiving,33.32100840336134,Ohio Caregiving Average%,Ohio,39.0,OH
Ohio,Cognitive Decline,32.575257731958764,Ohio Cognitive Decline Average%,Ohio,39.0,OH
Ohio,Mental Health,16.733333333333334,Ohio Mental Health Average%,Ohio,39.0,OH
Ohio,Smoking and Alcohol Use,15.029032258064515,Ohio Smoking and Alcohol Use Average%,Ohio,39.0,OH
Oklahoma,Caregiving,33.384466019417474,Oklahoma Caregiving Average%,Oklahoma,40.0,OK
Oklahoma,Cognitive Decline,31.2622641509434,Oklahoma Cognitive Decline Average%,Oklahoma,40.0,OK
Oklahoma,Mental Health,19.16764705882353,Oklahoma Mental Health Average%,Oklahoma,40.0,OK
Oklahoma,Smoking and Alcohol Use,12.70625,Oklahoma Smoking and Alcohol Use Average%,Oklahoma,40.0,OK
Oregon,Caregiving,35.68796296296296,Oregon Caregiving Average%,Oregon,41.0,OR
Oregon,Cognitive Decline,28.06125,Oregon Cognitive Decline Average%,Oregon,41.0,OR
Oregon,Mental Health,16.642857142857142,Oregon Mental Health Average%,Oregon,41.0,OR
Oregon,Smoking and Alcohol Use,12.055555555555555,Oregon Smoking and Alcohol Use Average%,Oregon,41.0,OR
Pennsylvania,Caregiving,37.457281553398055,Pennsylvania Caregiving Average%,Pennsylvania,42.0,PA
Pennsylvania,Cognitive Decline,30.813725490196077,Pennsylvania Cognitive Decline Average%,Pennsylvania,42.0,PA
Pennsylvania,Mental Health,14.110344827586207,Pennsylvania Mental Health Average%,Pennsylvania,42.0,PA
Pennsylvania,Smoking and Alcohol Use,12.915384615384616,Pennsylvania Smoking and Alcohol Use Average%,Pennsylvania,42.0,PA
Puerto Rico,Caregiving,38.740404040404044,Puerto Rico Caregiving Average%,Puerto Rico,72.0,PR
Puerto Rico,Cognitive Decline,42.84074074074074,Puerto Rico Cognitive Decline Average%,Puerto Rico,72.0,PR
Puerto Rico,Mental Health,18.091666666666665,Puerto Rico Mental Health Average%,Puerto Rico,72.0,PR
Puerto Rico,Smoking and Alcohol Use,9.691304347826087,Puerto Rico Smoking and Alcohol Use Average%,Puerto Rico,72.0,PR
Rhode Island,Caregiving,31.422727272727276,Rhode Island Caregiving Average%,Rhode Island,44.0,RI
Rhode Island,Cognitive Decline,33.35116279069767,Rhode Island Cognitive Decline Average%,Rhode Island,44.0,RI
Rhode Island,Mental Health,15.79,Rhode Island Mental Health Average%,Rhode Island,44.0,RI
Rhode Island,Smoking and Alcohol Use,11.424999999999999,Rhode Island Smoking and Alcohol Use Average%,Rhode Island,44.0,RI
South,Caregiving,35.248333333333335,South Caregiving Average%,South,,
South,Cognitive Decline,34.65208333333333,South Cognitive Decline Average%,South,,
South,Mental Health,15.853333333333333,South Mental Health Average%,South,,
South,Smoking and Alcohol Use,11.838095238095239,South Smoking and Alcohol Use Average%,South,,
South Carolina,Caregiving,35.29350649350649,South Carolina Caregiving Average%,South Carolina,45.0,SC
South Carolina,Cognitive Decline,32.659375000000004,South Carolina Cognitive Decline Average%,South Carolina,45.0,SC
South Carolina,Mental Health,14.623333333333333,South Carolina Mental Health Average%,South Carolina,45.0,SC
South Carolina,Smoking and Alcohol Use,12.416666666666666,South Carolina Smoking and Alcohol Use Average%,South Carolina,45.0,SC
South Dakota,Caregiving,33.669841269841264,South Dakota Caregiving Average%,South Dakota,46.0,SD
South Dakota,Cognitive Decline,25.520000000000003,South Dakota Cognitive Decline Average%,South Dakota,46.0,SD
South Dakota,Mental Health,13.481818181818182,South Dakota Mental Health Average%,South Dakota,46.0,SD
South Dakota,Smoking and Alcohol Use,14.873076923076923,South Dakota Smoking and Alcohol Use Average%,South Dakota,46.0,SD
Tennessee,Cognitive Decline,36.36551724137931,Tennessee Cognitive Decline Average%,Tennessee,47.0,TN
Tennessee,Mental Health,19.082758620689653,Tennessee Mental Health Average%,Tennessee,47.0,TN
Tennessee,Smoking and Alcohol Use,13.339285714285714,Tennessee Smoking and Alcohol Use Average%,Tennessee,47.0,TN
Texas,Caregiving,34.61529411764706,Texas Caregiving Average%,Texas,48.0,TX
Texas,Cognitive Decline,36.13472222222222,Texas Cognitive Decline Average%,Texas,48.0,TX
Texas,Mental Health,14.863888888888889,Texas Mental Health Average%,Texas,48.0,TX
Texas,Smoking and Alcohol Use,10.3,Texas Smoking and Alcohol Use Average%,Texas,48.0,TX
"United States, DC & Territories",Caregiving,34.937916666666666,"United States, DC & Territories Caregiving Average%","United States, DC & Territories",,
"United States, DC & Territories",Cognitive Decline,33.57395833333333,"United States, DC & Territories Cognitive Decline Average%","United States, DC & Territories",,
"United States, DC & Territories",Mental Health,14.516666666666666,"United States, DC & Territories Mental Health Average%","United States, DC & Territories",,
"United States, DC & Territories",Smoking and Alcohol Use,11.302127659574468,"United States, DC & Territories Smoking and Alcohol Use Average%","United States, DC & Territories",,
Utah,Caregiving,32.13181818181818,Utah Caregiving Average%,Utah,49.0,UT
Utah,Cognitive Decline,29.0020202020202,Utah Cognitive Decline Average%,Utah,49.0,UT
Utah,Mental Health,15.007142857142856,Utah Mental Health Average%,Utah,49.0,UT
Utah,Smoking and Alcohol Use,6.311111111111111,Utah Smoking and Alcohol Use Average%,Utah,49.0,UT
Vermont,Caregiving,32.28666666666667,Vermont Caregiving Average%,Vermont,50.0,VT
Vermont,Cognitive Decline,28.83809523809524,Vermont Cognitive Decline Average%,Vermont,50.0,VT
Vermont,Mental Health,15.7125,Vermont Mental Health Average%,Vermont,50.0,VT
Vermont,Smoking and Alcohol Use,11.487499999999999,Vermont Smoking and Alcohol Use Average%,Vermont,50.0,VT
Virgin Islands,Mental Health,6.4,Virgin Islands Mental Health Average%,Virgin Islands,,
Virgin Islands,Smoking and Alcohol Use,3.8499999999999996,Virgin Islands Smoking and Alcohol Use Average%,Virgin Islands,,
Virginia,Caregiving,35.498360655737706,Virginia Caregiving Average%,Virginia,51.0,VA
Virginia,Cognitive Decline,29.155140186915887,Virginia Cognitive Decline Average%,Virginia,51.0,VA
Virginia,Mental Health,13.85,Virginia Mental Health Average%,Virginia,51.0,VA
Virginia,Smoking and Alcohol Use,10.733333333333333,Virginia Smoking and Alcohol Use Average%,Virginia,51.0,VA
Washington,Caregiving,32.5044776119403,Washington Caregiving Average%,Washington,53.0,WA
Washington,Cognitive Decline,29.48,Washington Cognitive Decline Average%,Washington,53.0,WA
Washington,Mental Health,15.582222222222223,Washington Mental Health Average%,Washington,53.0,WA
Washington,Smoking and Alcohol Use,11.246153846153847,Washington Smoking and Alcohol Use Average%,Washington,53.0,WA
West,Caregiving,34.8175,West Caregiving Average%,West,,
West,Cognitive Decline,31.29114583333333,West Cognitive Decline Average%,West,,
West,Mental Health,14.05625,West Mental Health Average%,West,,
West,Smoking and Alcohol Use,11.075000000000001,West Smoking and Alcohol Use Average%,West,,
West Virginia,Caregiving,35.583333333333336,West Virginia Caregiving Average%,West Virginia,54.0,WV
West Virginia,Cognitive Decline,35.7125,West Virginia Cognitive Decline Average%,West Virginia,54.0,WV
West Virginia,Mental Health,19.908333333333335,West Virginia Mental Health Average%,West Virginia,54.0,WV
West Virginia,Smoking and Alcohol Use,13.8125,West Virginia Smoking and Alcohol Use Average%,West Virginia,54.0,WV
Wisconsin,Caregiving,33.07678571428571,Wisconsin Caregiving Average%,Wisconsin,55.0,WI
Wisconsin,Cognitive Decline,28.045348837209303,Wisconsin Cognitive Decline Average%,Wisconsin,55.0,WI
Wisconsin,Mental Health,15.061764705882354,Wisconsin Mental Health Average%,Wisconsin,55.0,WI
Wisconsin,Smoking and Alcohol Use,14.141379310344828,Wisconsin Smoking and Alcohol Use Average%,Wisconsin,55.0,WI
Wyoming,Caregiving,31.38360655737705,Wyoming Caregiving Average%,Wyoming,56.0,WY
Wyoming,Cognitive Decline,25.322499999999998,Wyoming Cognitive Decline Average%,Wyoming,56.0,WY
Wyoming,Mental Health,14.029166666666667,Wyoming Mental Health Average%,Wyoming,56.0,WY
Wyoming,Smoking and Alcohol Use,12.391666666666666,Wyoming Smoking and Alcohol Use Average%,Wyoming,56.0,WY
